school_id,schoolName,schoolType,headerImage,address,phone,familyOfSchools,schoolLevel,,program,capacity,current,projection_2026_27,projection_2027_28,projection_2028_29,projection_2029_30,history_label_1,history_value_1,history_label_2,history_value_2,history_label_3,history_value_3,history_label_4,history_value_4,built,,size,modular,,,,,catchment_description,parking_spots,bus_loop,girls_washrooms,boys_washrooms,gender_neutral_washrooms,universal_washroom,elevator,accessible_parking_stalls,accessible_entrance,automatic_entrance_door_operators,childcare_infant,childcare_preschool,childcare_school_age,meta_user,meta_updated,additions
louisrielartstech,Louis Riel Arts & Technology Centre,Centre,public/lratc.jpg,5 deBourmont Ave.,(204) 237-8951,Other,High School,,Technical Vocational,331,178,165,163,164,166,2021_22,118,2022_23,147,2023_24,148,2024_25,141,1970,,76050 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),66,N/A,2,2,1,Required,Required,2,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1978|19,517 ftÂ²"
marion,Marion School,School,public/marion.jpg,619 Des Meurons St.,(204) 233-2893,NELSON MCINTYRE FOS,Elementary School,,English Program,300,253,254,267,267,266,2021_22,139,2022_23,144,2023_24,218,2024_25,259,1950,,40861 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),37,Required,2,2,2,YES,YES,4,YES,YES,4,16,0,CommsLRSD,10/16/2025 17:22,"1953|12,558 ftÂ²||1963|6,494 ftÂ²"
minnetonka,Minnetonka School,School,public/minnetonka.jpg,200 Minnetonka St.,(204) 257-8114,GLENLAWN FOS,Elementary School,,English Program,230,172,171,165,167,163,2021_22,177,2022_23,138,2023_24,171,2024_25,171,1959,,41010 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),56,YES,3,3,1,YES,n/a,0,YES,Required,12,76,19,CommsLRSD,10/16/2025 17:22,
nelsonmcintyre,Nelson McIntyre Collegiate,Collegiate,public/nelsonmacintyre.jpg,188 St. Mary's Rd.,(204) 237-0219,NELSON MCINTYRE FOS,High School,,English Program,650,401,410,404,425,414,2021_22,316,2022_23,313,2023_24,358,2024_25,387,1955,,59927 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),62,Required,3,3,2,YES,YES,1,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1960|4,026 ftÂ²||1968|21,484 ftÂ²||1973|2,050 ftÂ²||1975|Rebuild||1986|Rebuild"
niakwaplace,Niakwa Place School,School,public/niakwa.jpg,200 Pebblebeach Rd.,(204) 257-0640,J.H. BRUNS FOS,Elementary School,,English Program,260,213,215,213,196,196,2021_22,232,2022_23,250,2023_24,268,2024_25,248,1974,,32230 ftÂ²,1,,,,,Net annual movement in and out of catchment (5-yr. avg.),40,Required,4,4,0,YES,n/a,1,YES,YES,0,20,15,CommsLRSD,10/16/2025 17:22,
nordale,Nordale School,School,public/nordaleschool.jpeg,99 Birchdale Ave.,(204) 237-0202,NELSON MCINTYRE FOS,Elementary School,,English Program,230,174,185,194,186,190,2021_22,132,2022_23,172,2023_24,170,2024_25,180,1948,,36954 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),32,Required,3,3,0,YES,n/a,0,Required,Required,0,18,30,CommsLRSD,10/16/2025 17:22,"1952|4,800 ftÂ²||1962|2,100 ftÂ²||1968|4,758 ftÂ²||1971|2,346 ftÂ²||2011|1,475 ftÂ²"
sagecreek,Sage Creek School,School,public/sagecreek.jpg,315 Sage Creek Blvd.,(204) 253-8199,J.H. BRUNS FOS,Elementary School,,English Program,660,645,640,642,627,620,2021_22,694,2022_23,747,2023_24,787,2024_25,772,2017,,76940 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),48,YES,1,1,20,YES,YES,1,YES,YES,20,64,132,CommsLRSD,10/16/2025 17:22,
samuelburland,Samuel Burland School,School,public/samuelburland.jpg,192 Burland Ave.,(204) 254-0124,GLENLAWN FOS,Elementary School,,English Program,445,402,379,378,369,359,2021_22,454,2022_23,444,2023_24,448,2024_25,421,1987,,44208 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),38,YES,3,3,0,YES,n/a,2,Required,YES,0,42,63,CommsLRSD,10/16/2025 17:22,
shamrock,Shamrock School,School,public/shamrock.png,831 Beaverhill Blvd.,(204) 257-0637,J.H. BRUNS FOS,Elementary School,,English Program,525,344,323,319,316,289,2021_22,563,2022_23,588,2023_24,610,2024_25,634,1974,,78185 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),51,YES,8,8,5,YES,n/a,2,YES,YES,0,30,100,CommsLRSD,10/16/2025 17:22,"1978|39,444 ftÂ² (Enrolment changes due to new school construction)"
stgeorge,St. George School,School,public/stgeorge.jpg,151 St. George Rd.,(204) 253-2646,GLENLAWN FOS,Elementary School,,English Program,385,349,354,377,369,371,2021_22,327,2022_23,377,2023_24,439,2024_25,344,1954,,47767 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),22,YES,3,3,4,Required,n/a,0,YES,Required,0,0,30,CommsLRSD,10/16/2025 17:22,
victorhlwyatt,Victor H.L. Wyatt School,School,public/victorwyatt.jpg,485 Meadowood Dr.,(204) 255-7880,DAKOTA FOS,Elementary School,,English Program,375,281,287,280,271,276,2021_22,260,2022_23,284,2023_24,310,2024_25,312,1979,,63900 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),52,Required,5,5,4,YES,YES,2,YES,YES,0,5,57,CommsLRSD,10/16/2025 17:22,
victormager,Victor Mager School,School,public/victormager.jpg,81 Beliveau Rd.,(204) 253-9873,DAKOTA FOS,Elementary School,,English Program,420,377,379,371,349,327,2021_22,337,2022_23,375,2023_24,404,2024_25,401,1959,,43879 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),50,Required,3,3,2,YES,n/a,1,Required,Required,0,8,29,CommsLRSD,10/16/2025 17:22,"1970|19,475 ftÂ²"
windsorpark,Windsor Park Collegiate,Collegiate,public/windsorpark.jpg,1015 Cottonwood Rd.,(204) 256-7316,WINDSOR PARK FOS,High School,,English Program,700,599,556,449,445,452,2021_22,670,2022_23,702,2023_24,726,2024_25,703,1959,,105000 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),100,Required,6,6,2,YES,YES,1,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1965|10,162 ftÂ²||1969|20,922 ftÂ²"
windsor,Windsor School,School,public/windsorschool.jpg,80 Cunnington Ave.,(204) 237-4057,GLENLAWN FOS,Elementary School,,English Program,260,234,234,244,248,255,2021_22,134,2022_23,138,2023_24,140,2024_25,234,1922,,36576 ftÂ²,1,,,,,Net annual movement in and out of catchment (5-yr. avg.),19,Required,5,5,2,Required,n/a,1,YES,YES,0,0,15,CommsLRSD,10/16/2025 17:22,1957|||1961|||1964|
