school_id,schoolName,schoolType,headerImage,address,phone,familyOfSchools,schoolLevel,grades,program,capacity,current,projection_2025_26,projection_2026_27,projection_2027_28,projection_2028_29,history_label_1,history_value_1,history_label_2,history_value_2,history_label_3,history_value_3,history_label_4,history_value_4,built,age,size,modular,air_conditioning,heating,led_lighting,catchment_migration,catchment_description,parking_spots,bus_loop,girls_washrooms,boys_washrooms,gender_neutral_washrooms,universal_washroom,elevator,accessible_parking_stalls,accessible_entrance,automatic_entrance_door_operators,childcare_infant,childcare_preschool,childcare_school_age,meta_user,meta_updated,additions,playground,provincial_buildingMove,provincial_note,provincial_requested,provincial_inProgress,provincial_completed,local_requested,local_inProgress,local_completed
ecolejulieriel,École Julie-Riel,École,public/julieriel.jpeg,316 Ashworth St.,(204) 253-2363,JEANNE-SAUVÉ FOS,Elementary School,French Immersion K-5; Middle Immersion 4-6,French Immersion & Middle Immersion,375,364,325,332,350,355,2020_21,316,2021_22,341,2022_23,353,2023_24,357,1995,29 years,45249 ft²,0,Full building,Natural gas,"Gym, hallway",+1.3%,Net annual movement in and out of catchment (5-yr. avg.),33,YES,2,2,0,Required,n/a,1,YES,YES,0,0,60,CommsLRSD,2025-10-16 17:22:16,,Swing set|Play structure|Climbing orb|Basketball nets|City Property: Soccer field,,,Roof replacement (Partial),None,None,Windows replacement|Staff room renovation|Cabinet door installations|Flooring replacement|Air Make Up unit|Boiler replacement|Washrooms renovation|Outdoor storage|Washer and dryer|Staff room renovation,None,Flooring replaced with tile
ecolemarieannegaboury,École Marie-Anne-Gaboury,École,public/marieannegaboury.jpg,95 Pulberry St.,(204) 253-9704,JEANNE-SAUVÉ FOS,Elementary School,K-8,French Immersion,420,426,421,420,421,422,2020_21,408,2021_22,393,2022_23,401,2023_24,416,1957,67 years,53300 ft²,0,Full building,Natural gas,None,+0.4%,Net annual movement in and out of catchment (5-yr. avg.),40,YES,5,4,1,YES,n/a,1,YES,Required,0,23,41,CommsLRSD,2025-10-16 17:22:16,"1969|36,100 ft²",2 Baseball diamonds|Running track|High jump pole|Soccer nets|4 Tether poles|TRC Garden,,,Entrance|Learning commons|Resource support suite|Guidance office|Conference room|Canteen|Second air handling unit|Relocation of school office and support space,None,Replacement of Chiller,Ceiling tiles replacement|Asphalt play area resurfacing|Lane cutout for student drop-off and pick-up|Hand washing sink|HVAC system|Main entrance and school office renovation|Flooring replacement,None,Convert washroom to gender neutral|Accessible entrance general renovations|Cement step repair|Demising wall|Bulletin boards|Shelving|Sink|White board|Coat hooks
ecoleprovencher,École Provencher,École,public/provencher.jpg,320 ave de la Cathedrale,(204) 233-0222,BÉLIVEAU FOS,Elementary School,K-4,French Immersion,290,290,345-398,332-356,323-239,318,2020_21,259,2021_22,256,2022_23,285,2023_24,293,1924,100 years,71776 ft²,0,None,Natural gas,"Childcare areas, meeting room 1, custodial room, washrooms (5), classrooms (9), second floor hallway, family centre room",-1.5%,Net annual movement in and out of catchment (5-yr. avg.),32,Required,2,2,3,YES,Required,0,Required,Required,0,29,88,CommsLRSD,2025-10-16 17:22:16,"1929|21,460 ft² (Rebuilt after 1923 fire)",Shade area|2 Play structures|Swing set|Zipline swing|Basketball action play|Basketball court,,,New Elementary School: Waters Urban Village neighbourhood|Building envelope|Windows|Ventilation|Elevator|Second air handling unit|Roof replacement (Partial),,,Windows replacement for entire school|Lighting upgrades|HVAC system|Student washrooms renovation|Acoustic material replacement|Door and frames replacement|Gym bleacher replacement|Storage room door|Washroom walls refinishing|Doorway widening|Magnetic locks on second floor stairwell doors|Bike cage,,Window safety bars|Extend stairway walls for safety|New gender neutral washroom
ecolesagecreekbonavista,École Sage Creek Bonavista,École,public/sagecreekbonavista.png,355 Des Hivernants Blvd.,Board Office,BÉLIVEAU FOS,Elementary School,K-8,French Immersion Program,900,0,90-97,859-861,855-880,836-876,2020_21,0,2021_22,0,2022_23,0,2023_24,0,2025,0 years,103548 ft²,0,Full building,Natural gas,"Hallways, band, office, library, Rooms 101-103, 142, 203, 204",+0.0%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,1,1,24,YES,YES,9,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,,2 Play areas|Basketball court|City Property: Pump Track|Soccer field,,,,,,,,
ecolestgermain,École St. Germain,École,public/stgermain.jpg,77 John Forsyth Rd.,(204) 254-0120,JEANNE-SAUVÉ FOS,Elementary School,K-5,French Immersion,405,399,356,365,391,399,2020_21,483,2021_22,469,2022_23,471,2023_24,427,1987,37 years,43258 ft²,2,Full building,"Natural gas, electric, geothermal","Gym, mini-gym",+1.0%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,2,2,0,1,n/a,0,YES,NO,0,32,33,CommsLRSD,2025-10-16 17:22:16,,"Basketball court|Basketball action play|Four-square court|Play structures|Balance steppers|Picnic area|City Property: Baseball diamonds, Soccer field, Swing sets, Sharing circle",,,New Elementary School: Precinct K neighbourhood|Failed boiler replacement|Make-up air replacement (2),,,Roof top unit replacement|Staff room renovation|Partitions replacement in change room|Concrete play area repair,,Rear sidewalk repairs|Sound proofing|Ceiling tile replacement (6 classrooms)|Cubbies for students|White board relocation
ecolevanbelleghem,École Van Belleghem,École,public/vanbelleghem.jpg,10 Vermillion Rd.,(204) 255-1134,BÉLIVEAU FOS,Elementary School,K-8,French Immersion,365,450,314-389,294-347,289-316,283-291,2020_21,397,2021_22,416,2022_23,432,2023_24,447,1967,57 years,37212 ft²,2,"Office, multipurpose room, band room, staff room","Natural gas, electric","Kindergarten, library, music, MPR, classrooms (18)",+8.0%,Net annual movement in and out of catchment (5-yr. avg.),20,YES,2,2,1,Required,n/a,1,YES,YES,0,19,28,CommsLRSD,2025-10-16 17:22:16,"1968|15,486 ft²","Basketball action play system|Basketball Court|Nature playground|Tree climbing system|Zipline|Honeycomb structure|Play structures|Swings|Bike cage|City Property: Baseball field, Soccer nets",,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct K neighbourhood|Universal washrooms|Relocation of Modular Classrooms to Island Lakes Community School (summer 2025)|Roof replacement (Partial)",,Lighting Retrofits,Skylights covers removal|Lighting upgrade|Gender-neutral washrooms|Operable windows|Asphalt play area replacement|Soundproofing in multi-purpose room|Playground drainage|Main office renovation|Skylights replacement|HVAC system,,Door and frame replacement|Flooring replacement (library)|General renovations|Flooring replacement (front & rear entrances)|New classroom in library|Library reconfiguration to include kindergarten classroom with washroom
ecolevarennes,École Varennes,École,public/varennes.png,22 Varennes Ave.,(204) 253-1375,JEANNE-SAUVÉ FOS,Elementary School,K-8,French Immersion,400,420,390,400,411,425,2020_21,384,2021_22,370,2022_23,358,2023_24,382,1951,73 years,38400 ft²,0,"Room 2 (music), room 20",Natural gas,Classrooms (3),-2.3%,Net annual movement in and out of catchment (5-yr. avg.),38,Required,2,2,1,Required,Required,2,YES,Required,0,0,37,CommsLRSD,2025-10-16 17:22:16,"1953|8,103 ft²||1959|18,954 ft²||1976|1,525 ft² (Flood relief building, intended to last 20 years)",Sandbox|Tire Swings|Soccer nets|Baseball diamond|Slide|Play structure|Basketball|Basketball action play|Sharing circle,,,"Building Replacement [≈55,000 ft2]|Additional Air Make Up unit to gym|Roof replacement (Full)",,,Elevator|Accessible washroom on each floor|HVAC system|Ceiling tiles replacement|Make-up air unit|Flooring|Automatic door operators|Ramp at library door|Ceiling and lighting upgrade|Washrooms renovation|Exhaust fan replacement|Parking lot paving|Flooring replacement|Windows replacement|Gym ceiling acoustic material removal|Gym change room reconfiguration to sensory room|Gym mezzanine expansion,Asphalt repair,Flooring replacement|Electrical plug installation (parking lot)|Intercom system
frontenac,Frontenac School,School,public/frontenac.jpg,866 Autumnwood Dr.,(204) 257-0609,WINDSOR PARK FOS,Elementary School,K-8,English Program,450,418,373,387,385,397,2020_21,433,2021_22,454,2022_23,426,2023_24,406,1956,68 years,56965 ft²,2,Full building,Natural gas,"Staff room 34, room 28",-1.2%,Net annual movement in and out of catchment (5-yr. avg.),55,Required,4,4,4,YES,YES,1,YES,YES,0,30,30,CommsLRSD,2025-10-16 17:22:16,"1959|16,000 ft²||1964|5,000 ft²||1970|13,865 ft²||1986|1,050 ft²||1987|1,050 ft²",Play structures|Soccer area|Basketball court|Gaga Ball pit|Tetherball,,,Roof replacement (Partial),,Universal washroom,School repainting|HVAC system|Windows replacement|Washroom and laundry room renovation|Ceiling tiles replacement|Change room renovation|Concrete accessible loading pad|Wall fracture|Canopy outside modular classrooms,,Window replacement|Step repairs|Ramp repair|Floor tile replacement|Playground asphalt resurfacing
generalvanier,General Vanier School,School,public/generalvanier.jpg,18 Lomond Blvd.,(204) 255-1400,WINDSOR PARK FOS,Elementary School,K-8,English Program,235,234,286,283,277,264,2020_21,230,2021_22,247,2022_23,251,2023_24,261,1961,63 years,50644 ft²,0,Full building,Natural gas,Room 6,+2.2%,Net annual movement in and out of catchment (5-yr. avg.),39,YES,4,4,4,YES,YES,0,YES,YES,0,30,35,CommsLRSD,2025-10-16 17:22:16,"1963|26,000 ft²||1969|8,644 ft²","Gaga Ball pit|Swing sets|Play structures|Basketball court|Climbing bars|Glider and Merry-go-round|City Property: Swing set, Wading pool, Soccer fields",,,Roof repairs,,Universal washroom,School grounds redevelopment|Partitions and washroom door replacement|Lockers|Flooring replacement|Library shelves|Demising wall removal|Library move to main floor|Gender-neutral washrooms|HVAC system|Doors replacement,,Fix wheelchair accessible ramps|Vestibule renovations|Blacktop repair
glenlawn,Glenlawn Collegiate,Collegiate,public/glenlawn.jpg,770 St. Mary's Rd.,(204) 233-3986,GLENLAWN FOS,High School,9-12,English Program,1000,1104,"1,068-1,105","1,071-1,077","1,097-1,102","1,071-1,095",2020_21,991,2021_22,886,2022_23,911,2023_24,1059,1949,75 years,140850 ft²,0,"Everywhere except senior woodshop, autoshop",Natural gas,None,-0.3%,Net annual movement in and out of catchment (5-yr. avg.),110,Required,5,5,9,1,Partial,5,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,1956|||1965|||1972|||1975|||1997|Rebuild,"City Property: Long jump track with sandpit, Volleyball court, Soccer fields, Basketball court, Shade structure",,,"New High School: Precinct K neighbourhood|Graphics lab (ventilation, ceiling, lights, dark room, storage)|Roof replacement (Partial)",,Rooftop unit replacement,"Elevator installation|HVAC system|Metal shops renovation|Lighting and painting upgrade in automotive shop|Lighting, millwork, and painting upgrade in electronics|Graphic arts renovation|Lighting and stair treads|Lockers replacement|Gender-neutral washroom|Flooring replacement",,Enclose junior high lab electrical panel|Door replacement|Foods and nutrition lab|Fire alarm upgrade
glenwood,Glenwood School,School,public/glenwood.jpg,51 Blenheim Ave.,(204) 233-3619,GLENLAWN FOS,Elementary School,K-8,English Program,280,267,285,290,289,287,2020_21,172,2021_22,198,2022_23,216,2023_24,235,1910,114 years,63094 ft²,0,"Main office, staff room",Natural gas,"Gym, office, storage, classrooms (4)",-1.1%,Net annual movement in and out of catchment (5-yr. avg.),32,Required,2,2,5,Required,Required,0,YES,Required,0,15,50,CommsLRSD,2025-10-16 17:22:16,"1954|5,936 ft²||1955|9,215 ft²||1974|12,077 ft²",Play structures|Basketball action play|Basketball court|City Property: Baseball diamonds,,,New High School: Precinct K neighbourhood,Elevator|Universal washroom|Roof replacement (Partial),,Washroom renovations|Windows replacement|Exterior painting|Flooring replacement|Interlock with dust collector in maker studio|School renumbering|HVAC system|Main office renovation|Elevator|Bell tower roof repair|Front entrance ramp,Wall refinishing and repainting,Chimney repair|Pave parking lot with asphalt
hspaul,H.S. Paul School,School,public/hspaul.jpg,160 Southglen Blvd.,(204) 254-7477,DAKOTA FOS,Elementary School,K-8,English Program,375,383,350,351,375,381,2020_21,397,2021_22,394,2022_23,413,2023_24,398,1989,35 years,46558 ft²,2,"Back hallway, main building (needs repairs)","Natural gas, electric, geothermal",Room 6,-0.2%,Net annual movement in and out of catchment (5-yr. avg.),42,YES,2,2,1,YES,n/a,1,YES,YES,8,40,72,CommsLRSD,2025-10-16 17:22:16,"1991|1,502 ft² (2 modular classrooms uninhabitable)",Play structures|Swing sets|Basketball court|Basketball action play system|Baseball diamond|Soccer nets,,,New High School: Precinct K neighbourhood|Boiler replacement|Roof replacement (Partial),,Rooftop unit and Make-up Air replacement,Air conditioning installation|Cabinets and countertops in canteen,Exterior wall repair,Portable A/C unit|Coat hooks|Lockable storage cabinet|Boot racks|Intercom call button relocation|Compressor replacement
hastings,Hastings School,School,public/hastings.jpg,50 Hastings Blvd.,(204) 253-1371,DAKOTA FOS,Elementary School,K-8,English Program,260,238,260,255,254,243,2020_21,204,2021_22,198,2022_23,216,2023_24,235,1960,64 years,36100 ft²,0,Everywhere except gym,Natural gas,"Gym, hallways, main entry, offices, storage, movement room, staff washrooms, custodial room, elevator",-0.5%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,1,1,2,YES,YES,1,YES,YES,0,18,32,CommsLRSD,2025-10-16 17:22:16,,Basketball court|Play structure|Soccer field|Gravel track|Baseball diamond|Indigenous garden|Tether ball,,,New High School: Precinct K neighbourhood|Boiler replacement,,Elevator|Universal washroom,Student washrooms renovation|Gym air conditioning|Main floor school office relocation|Windows replacement,Exterior windows|Wall repair|Loose wiring securing,Portable A/C unit|Steps repair
highbury,Highbury School,School,public/highbury.jpg,99 Highbury Rd.,(204) 254-5078,DAKOTA FOS,Elementary School,K-8,English Program,400,450,423,425,437,440,2020_21,403,2021_22,409,2022_23,407,2023_24,438,1991,33 years,65496 ft²,0,Full building,Natural gas,"Gym, multipurpose room stage, office, hygiene room",+2.1%,Net annual movement in and out of catchment (5-yr. avg.),41,YES,4,4,2,YES,n/a,1,YES,YES,16,56,62,CommsLRSD,2025-10-16 17:22:16,"1992|13,185 ft²||1997|4,844 ft²||2001|4,456 ft²||2005|1,000 ft²||2014|4,843 ft²","City Property: Play structures, Soccer field, Basketball court, Baseball diamond",,,New High School: Precinct K neighbourhood|New Elementary School: Precinct K neighbourhood|Universal washroom|Roof replacement (Partial),,Make Up Air replacement (2)|Compressor replacement,Staff room renovation|Meeting room window|Flooring replacement|Skylight blind in multi-purpose room|Outdoor storage|School office flooring replacement|Lockers|Food and nutrition lab renovation|Metal roof and overhang repainting,,Dust collector layout reconfiguration and added electrical to accommodate the relocated equipment|Painting of all classrooms|Interlock for dust collector installation
islandlakes,Island Lakes Community School,School,public/islandlakes.jpg,445 Island Shore Blvd.,(204) 254-6247,J.H. BRUNS FOS,Elementary School,K-8,English Program,540,752,650-706,671-704,700-757,709-767,2020_21,391,2021_22,497,2022_23,585,2023_24,687,2001,23 years,59927 ft²,2,Full building,"Natural gas, electric",Classrooms (3),+9.5%,Net annual movement in and out of catchment (5-yr. avg.),36,YES,3,3,7,YES,n/a,2,YES,YES,4,62,65,CommsLRSD,2025-10-16 17:22:16,"2009|5,785 ft² (2 modular classrooms added Oct. 2024)","Play structures|Swing set|Soccer nets|Basketball action play|City Property: Basketball court, Baseball diamond, Tennis court",,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Relocation of Modular Classrooms to ILCS from École Van Belleghem (summer 2025)|Additional Air Make Up unit for gym|Roof replacement (Partial)",Relocation of Modular Classrooms (2) from St. Germain,Installation of Modular Classrooms (2),Library desk trims|Air Make Up unit|Universal washroom upgrade|Canteen renovation|Main entrance benches|Washroom countertop replacements|Entrance flooring replacement|Staff room renovation,,Shelving installation|Two classrooms added to library
jhbruns,J.H. Bruns Collegiate,Collegiate,public/jhbruns.jpg,250 Lakewood Blvd.,(204) 257-2928,J.H. BRUNS FOS,High School,9-12,English Program,700,856,"1,115-1,154","1,064-1,093","992-1,003",902,2020_21,763,2021_22,762,2022_23,779,2023_24,780,1972,52 years,89638 ft²,1,"Everywhere except gym, autoshop","Natural gas, electric",Hallway,+5.8%,Net annual movement in and out of catchment (5-yr. avg.),51,YES,3,3,1,YES,YES,0,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,"1976|5,785 ft²","City Property: Play structure, Wading pool, Baseball diamonds, Southdale C.",,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Addition [≈26,000 ft2] with classrooms (9), Library, Fitness room, Cafeteria, Entrance (2)|Optimize staff parking|Outdoor recreation spaces|Hardcourt sports plaza|Roof replacement (Partial)",Science classroom,Universal washroom|Roof replacement (Partial)|Foundation upgrade|Roof reinforcement upgrade,HVAC system|Demising wall installation|Kitchen renovation|Windows replacement|Gym air conditioning,,Locker replacement|Cupboard removal|Painting|Flooring installation|Gym reconfiguration|Foods and nutrition room refresh|Exterior foundation wall repair
